"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,0,0,0,1,0,0,0,0,1,1,1,1,2,0.87,543118
2019,2,0,2,1,0,0,0,5,8,0.167,0.375,0.167,0.542,0.281,608344
2019,0,1,2,1,0,0,1,4,7,0.333,0.429,0.833,1.262,0.504,641924
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,642073
2019,0,0,0,0,0,0,0,4,4,0,0,0,0,0,572362
2019,0,0,0,1,0,0,0,2,3,0.333,0.333,0.333,0.666,0.29,641851
2019,4,0,19,11,3,0,0,43,61,0.246,0.295,0.298,0.593,0.262,641914
2019,6,1,16,4,5,0,4,40,60,0.245,0.333,0.566,0.899,0.37,669221
2019,0,0,1,0,0,0,0,3,3,0,0,0,0,0,605498
2019,0,0,4,0,0,0,0,5,5,0,0,0,0,0,605280
2019,1,0,5,1,0,0,0,8,10,0.111,0.2,0.111,0.311,0.156,641745
2019,0,0,1,2,0,0,0,3,5,0.4,0.4,0.4,0.8,0.348,456701
2019,1,0,5,2,2,0,1,20,26,0.2,0.231,0.4,0.631,0.262,434658
2019,1,0,0,1,0,0,0,1,3,0.5,0.667,0.5,1.167,0.52,607644
2019,0,0,0,2,0,0,0,0,2,1,1,1,2,0.87,642397
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,543001
2019,0,0,0,0,0,0,0,3,3,0,0,0,0,0,488768
2019,0,0,9,1,0,0,0,11,12,0.083,0.083,0.083,0.166,0.072,664874
2019,0,0,1,0,0,0,0,4,4,0,0,0,0,0,605276
2019,0,0,2,0,0,0,0,5,5,0,0,0,0,0,457915
2019,0,0,5,1,0,0,0,7,8,0.125,0.125,0.125,0.25,0.109,608371
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,596112
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,657097
2019,0,0,4,0,0,0,0,4,4,0,0,0,0,0,650893
2019,0,0,0,1,0,0,0,0,1,1,1,1,2,0.87,605154
2019,9,1,20,8,6,0,2,59,85,0.213,0.306,0.373,0.679,0.295,595981
2019,1,0,28,4,1,0,0,35,41,0.125,0.146,0.15,0.296,0.131,572971
