batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso
608324,"Bregman, Alex",R,R,3,89.66666666666667,5,0.3496666666666667,0.9666666666666667,0.3806666666666667,1
608348,"Kelly, Carson",R,L,1,100.5,-14,0.214,0,0.203,0
608348,"Kelly, Carson",R,R,3,93.35,20.5,0.0675,0.2333333333333333,0.0625,0
608671,"Jankowski, Travis",L,R,1,NA,NA,NA,0,NA,0
609275,"Mondesi, Adalberto",L,R,3,88.4,52,0.017,0,0.019,0
614177,"Reyes, Franmil",R,R,4,95.06666666666668,24.333333333333332,0.319,0.225,0.31,0
621020,"Swanson, Dansby",R,L,1,NA,NA,NA,0,NA,0
621020,"Swanson, Dansby",R,R,3,NA,NA,NA,0,NA,0
621028,"Newman, Kevin",R,R,4,73.075,6,0.36425,0.225,0.367,0
621438,"Taylor, Tyrone",R,L,1,98.9,-22,0.129,0,0.116,0
621550,"Wisdom, Patrick",R,L,1,NA,NA,NA,0,NA,0
621550,"Wisdom, Patrick",R,R,3,93.4,46,0.006,0,0.0055,0
621566,"Olson, Matt",L,R,4,113,6,0.72,0.35,0.687,0
622110,"Duffy, Matt",R,L,3,80.63333333333333,-27,0.12566666666666668,0.6,0.12,0
624413,"Alonso, Pete",R,L,2,81.15,31.5,0.5555,0.45,0.5465,0
624413,"Alonso, Pete",R,R,3,59.85,18.5,0.5425,0.5333333333333333,0.503,0
628338,"Heredia, Guillermo",R,L,1,NA,NA,NA,0,NA,0
628338,"Heredia, Guillermo",R,R,1,100.5,-3,0.303,0,0.273,0
630105,"Cronenworth, Jake",L,L,2,81.2,42,0.031,0.35,0.04,0
630105,"Cronenworth, Jake",L,R,2,89.3,-17,0.111,0.35,0.107,0
640449,"Frazier, Clint",R,L,1,94.9,16,0.666,1.25,0.675,1
640458,"Mercado, Oscar",R,R,1,88.1,53,0.014,0,0.013,0
641531,"Dozier, Hunter",R,R,3,71.6,-22,0.266,0.3,0.4565,0
641933,"O'Neill, Tyler",R,L,1,86.8,43,0.011,0,0.015,0
641933,"O'Neill, Tyler",R,R,4,98.75,20,0.7415,0.9,1.1300000000000001,0.75
642133,"Tellez, Rowdy",L,R,4,80.7,17,0.8440000000000001,0.45,0.8065,0
642165,"VanMeter, Josh",L,R,1,NA,NA,NA,0,NA,0
642180,"Wade, Tyler",L,R,1,91.7,2,0.391,0,0.381,0
642708,"Rosario, Amed",R,R,4,93.6,7.75,0.58,0.225,0.56375,0
642715,"Adames, Willy",R,R,5,84.89999999999999,3.3333333333333335,0.3303333333333333,0.43,0.317,0.2
643217,"Benintendi, Andrew",L,R,4,87.7,7.5,0.17225,0.45,0.18775,0
643446,"McNeil, Jeff",L,L,2,94.7,-1,0.357,0.45,0.356,0
643446,"McNeil, Jeff",L,R,2,83.55000000000001,7.5,0.5385,0.45,0.5275000000000001,0
643524,"Schwindel, Frank",R,L,1,101.8,-13,0.237,0,0.213,0
643524,"Schwindel, Frank",R,R,3,75.33333333333333,18.666666666666668,0.036,0,0.03866666666666667,0
644374,"Chang, Yu",R,L,1,NA,NA,NA,0,NA,0
644374,"Chang, Yu",R,R,3,101.5,36.5,0.41100000000000003,0,0.8250000000000001,0
645277,"Albies, Ozzie",L,R,4,82.76666666666667,-0.3333333333333333,0.20366666666666666,0.225,0.18666666666666665,0
645302,"Robles, Victor",R,R,3,25,-20,0.286,0.08333333333333333,0.3,0
656252,"Bradley, Bobby",L,R,2,67.35,-25.5,0.14100000000000001,0,0.1365,0
656308,"Chavis, Michael",R,L,1,97.2,49,0.006,0,0.011,0
656403,"Ellis, Drew",R,R,2,90.6,11,0.0655,0,0.0665,0
656976,"Smith, Pavin",L,L,1,89.8,19,0.526,0.9,0.52,0
656976,"Smith, Pavin",L,R,3,91.7,-9,0.206,0.4666666666666666,0.213,0
657041,"Thomas, Lane",R,R,4,94.94999999999999,-13.5,0.14300000000000002,0.4,0.1295,0
657061,"Tucker, Cole",L,R,3,81.6,-34.5,0.3885,0,0.365,0
657557,"DeJong, Paul",R,R,4,86.3,37.333333333333336,0.04466666666666667,0.175,0.043333333333333335,0
660271,"Ohtani, Shohei",L,L,3,89.80000000000001,8.5,0.0855,0,0.08499999999999999,0
660271,"Ohtani, Shohei",L,R,1,98.3,42,0.043,0,0.067,0
660294,"Tsutsugo, Yoshi",L,R,3,94.2,2.3333333333333335,0.43633333333333335,0.6,0.419,0
660636,"Castillo, Diego",R,R,3,84.5,-9,0.227,0,0.2155,0
660688,"Ruiz, Keibert",L,R,4,98.025,26.25,0.43,0.5375,0.63425,0.25
660829,"Park, Hoy",L,L,1,NA,NA,NA,0,NA,0
660829,"Park, Hoy",L,R,2,50.150000000000006,-27.5,0.13,0.45,0.1335,0
662139,"Varsho, Daulton",L,R,4,96.60000000000001,19.666666666666668,0.15633333333333332,0,0.26699999999999996,0
663538,"Hoerner, Nico",R,L,1,93.8,-26,0.083,0,0.075,0
663538,"Hoerner, Nico",R,R,2,105.3,19,0.549,1,0.686,1.5
663586,"Riley, Austin",R,R,4,85.525,-11.25,0.41525,0.95,0.64175,0.75
663611,"Madrigal, Nick",R,L,1,90.5,-12,0.129,0,0.116,0
