batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
605204,"Davis, J.D.",R,L,71,95.16382978723405,13.02127659574468,0.41548936170212764,0.35352112676056335,0.49540425531914895,0.18309859154929578,0.10638297872340426
605204,"Davis, J.D.",R,R,197,90.46416666666667,5.141666666666667,0.39335294117647057,0.3695431472081218,0.45154621848739496,0.15736040609137056,0.09166666666666666
605421,"Perez, Michael",L,L,1,NA,NA,NA,0,NA,0,NA
605421,"Perez, Michael",L,R,6,98.36666666666667,18.833333333333332,0.43716666666666665,0.6583333333333333,0.4683333333333333,0.16666666666666666,0.3333333333333333
605612,"Castro, Harold",L,L,11,86.71666666666667,29.666666666666668,0.15933333333333333,0.11363636363636363,0.15566666666666668,0.09090909090909091,0
605612,"Castro, Harold",L,R,149,85.41196581196581,9.282051282051283,0.3364188034188034,0.3087248322147651,0.3461025641025641,0.06711409395973154,0.03418803418803419
606115,"Arcia, Orlando",R,L,44,90.96923076923076,2.4074074074074074,0.4370769230769231,0.5375,0.5634230769230769,0.3409090909090909,0.19230769230769232
606115,"Arcia, Orlando",R,R,165,89.25619834710744,4.049180327868853,0.3185123966942149,0.35424242424242425,0.3402892561983471,0.07878787878787878,0.04132231404958678
606132,"Tapia, Raimel",L,L,21,80.83636363636364,4.2727272727272725,0.18827272727272729,0.15238095238095237,0.17727272727272728,0,0
606132,"Tapia, Raimel",L,R,92,87.34179104477612,0.7164179104477612,0.3323030303030303,0.33260869565217394,0.388530303030303,0.13043478260869565,0.1044776119402985
606192,"Hernández, Teoscar",R,L,74,93.85510204081633,17.959183673469386,0.3807755102040816,0.38310810810810814,0.49442857142857144,0.28378378378378377,0.16326530612244897
606192,"Hernández, Teoscar",R,R,232,90.47285714285714,13.464285714285714,0.3908357142857143,0.32133620689655173,0.4790785714285714,0.15086206896551724,0.12142857142857143
606466,"Marte, Ketel",L,R,219,90.11962025316456,8.227848101265822,0.3205379746835443,0.36552511415525113,0.35860759493670885,0.182648401826484,0.0949367088607595
606466,"Marte, Ketel",R,L,94,90.16285714285715,9.785714285714286,0.35041428571428573,0.4127659574468085,0.3906142857142857,0.18085106382978725,0.1
606992,"Haase, Eric",R,L,46,87.66666666666667,17.333333333333332,0.3127333333333333,0.20326086956521738,0.33376666666666666,0.08695652173913043,0.06666666666666667
606992,"Haase, Eric",R,R,150,87.833,11.83,0.32746000000000003,0.29333333333333333,0.34179,0.08,0.04
607043,"Nimmo, Brandon",L,L,104,90.93472222222222,7.083333333333333,0.36856944444444445,0.37259615384615385,0.3794722222222222,0.10576923076923077,0.041666666666666664
