pitcher,p_throws,stand,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
527048,L,R,17,85.61666666666666,10.166666666666666,0.30741666666666667,0.45,0.29791666666666666,0.17647058823529413,0
528748,R,L,6,81.25,15.166666666666666,0.3433333333333333,0.5083333333333333,0.3368333333333333,0.16666666666666666,0
528748,R,R,8,88,6.25,0.2315,0.44375,0.24125,0.125,0
542881,L,L,13,86.45714285714286,18.857142857142858,0.23885714285714285,0.12307692307692307,0.22485714285714287,0,0
542881,L,R,17,77.53846153846153,10.538461538461538,0.34615384615384615,0.2,0.3477692307692308,0,0
542888,R,L,5,90.625,17.25,0.29275,0.25,0.33799999999999997,0.2,0
542888,R,R,8,93.18,26.2,0.3148,0.49375,0.4376,0.5,0.4
542914,R,L,5,90.85,38.5,0.1795,0,0.176,0,0
542914,R,R,6,89.25,15.25,0.22899999999999998,0.325,0.26225,0.16666666666666666,0
542947,L,L,3,100.8,24,0.563,0.6666666666666666,0.855,1,1
542947,L,R,4,93.6,16.5,0.0585,0,0.053000000000000005,0,0
543037,R,L,8,94.05714285714285,18.571428571428573,0.2664285714285714,0.3625,0.3677142857142857,0.375,0.2857142857142857
543037,R,R,31,91.425,11.45,0.3469,0.34677419354838707,0.43975,0.2903225806451613,0.15
543056,L,L,8,79.22,25.4,0.2132,0.2,0.203,0,0
543056,L,R,5,97.9,25,0.29700000000000004,0.13999999999999999,0.3536666666666667,0,0
543101,R,L,6,103.64,2.6,0.4772,0.6583333333333333,0.5993999999999999,0.16666666666666666,0.2
543101,R,R,14,85.6875,23.5,0.563625,0.35714285714285715,0.534375,0,0
543135,R,L,21,95.2,17.1,0.4903,0.34285714285714286,0.6718,0.2857142857142857,0.3
543135,R,R,22,90.99411764705883,10.588235294117647,0.30623529411764705,0.37727272727272726,0.33429411764705885,0.2727272727272727,0.11764705882352941
543238,L,L,6,94.83333333333333,14,0.5263333333333333,0.6,0.8363333333333334,0.5,0.3333333333333333
543238,L,R,4,99.6,47.5,0.3545,0.175,0.721,0,0.5
543243,R,L,11,85.52222222222223,12.11111111111111,0.23500000000000001,0.14545454545454545,0.23333333333333334,0,0
543243,R,R,9,99.4,5.2,0.451,0.6388888888888888,0.7093999999999999,0.4444444444444444,0.4
543272,L,L,4,61.5,11,0.1325,0.225,0.1315,0,0
543272,L,R,4,83.7,17.5,0.08,0,0.089,0,0
543294,R,L,29,94.47333333333333,14.466666666666667,0.399,0.3620689655172414,0.44166666666666665,0.10344827586206896,0.06666666666666667
543294,R,R,16,85.67272727272727,16.181818181818183,0.45845454545454545,0.525,0.4661818181818182,0.25,0
543339,R,L,2,91.8,-7,0.169,0,0.152,0,0
543339,R,R,5,81.44999999999999,16,0.52,0.18,0.494,0,0
543475,R,L,28,91.885,11.3,0.3688,0.4589285714285714,0.43785,0.21428571428571427,0.1
543475,R,R,19,89.35333333333334,5.333333333333333,0.3194,0.29210526315789476,0.30006666666666665,0.05263157894736842,0
543507,R,L,5,96.88,13.6,0.612,0.9400000000000001,0.8240000000000001,0.6,0.2
